time,s1.x,s1.y,s2.x,s2.y,scom.x,scom.y,v1.x,v1.y,v2.x,v2.y,vcom.x,vcom.y,p1.x,p1.y,p2.x,p2.y,p.x,p.y,w1,w2,L1,L2,L,E1,E2,E
0.068000,0.068010,0.010000,0.363980,0.000000,0.216000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.069000,0.069010,0.010000,0.361980,0.000000,0.215500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.070000,0.070010,0.010000,0.359980,0.000000,0.215000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.071000,0.071010,0.010000,0.357980,0.000000,0.214500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.072000,0.072010,0.010000,0.355980,0.000000,0.214000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.073000,0.073010,0.010000,0.353980,0.000000,0.213500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.074000,0.074010,0.010000,0.351980,0.000000,0.213000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.075000,0.075010,0.010000,0.349980,0.000000,0.212500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.076000,0.076010,0.010000,0.347980,0.000000,0.212000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.077000,0.077010,0.010000,0.345980,0.000000,0.211500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.078000,0.078010,0.010000,0.343980,0.000000,0.211000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.079000,0.079010,0.010000,0.341980,0.000000,0.210500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.080000,0.080010,0.010000,0.339980,0.000000,0.210000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.081000,0.081010,0.010000,0.337980,0.000000,0.209500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.082000,0.082010,0.010000,0.335980,0.000000,0.209000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.083000,0.083010,0.010000,0.333980,0.000000,0.208500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.084000,0.084010,0.010000,0.331980,0.000000,0.208000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.085000,0.085010,0.010000,0.329980,0.000000,0.207500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.086000,0.086010,0.010000,0.327980,0.000000,0.207000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.087000,0.087010,0.010000,0.325980,0.000000,0.206500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.088000,0.088010,0.010000,0.323980,0.000000,0.206000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.089000,0.089010,0.010000,0.321980,0.000000,0.205500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.090000,0.090010,0.010000,0.319980,0.000000,0.205000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
